x,y
7.827029151608193125e+00,7.637678721249232527e-01
7.821370671496922000e+00,8.260866807566713543e-01
7.301852447170564808e+00,1.863039839998512193e+00
7.202054773875245175e+00,1.857511417378909346e+00
7.098547694936930164e+00,1.926221174652431589e+00
6.319413935710834984e+00,1.964525288290627891e+00
6.268132771934035397e+00,1.980954088155141513e+00
6.153612757978473624e+00,1.992109103953272786e+00
6.038854543774620609e+00,1.995690617972997849e+00
4.537819369678404158e+00,2.093265130591142942e+00
4.492395897443849151e+00,2.120733097127474487e+00
4.266482094600702268e+00,2.126230120546247715e+00
4.029097990135603879e+00,2.155581477002360469e+00
3.584932841291935013e+00,2.149429317456194255e+00
3.210374829023971976e+00,2.129279369946651013e+00
4.709975228524737823e+00,-1.308279386847713388e+00
4.758770954288516819e+00,-1.322045098078461045e+00
4.811581285880650150e+00,-1.342750606587571172e+00
5.282375660962935093e+00,-1.375322329609412142e+00
7.002578845385275308e+00,1.975008867852657835e+00
6.585556741566475303e+00,2.024983142819583914e+00
6.516423176541513484e+00,2.026058065284356502e+00
6.436484718457267107e+00,2.010267239390149285e+00
6.310334642906889613e+00,2.016175970340252643e+00
6.261573388019634478e+00,2.037327686037310404e+00
6.197430760671842620e+00,2.033991889780876861e+00
4.636958572794581457e+00,2.169590480626597540e+00
4.591286575312130580e+00,2.183824635118433388e+00
4.545402344206221912e+00,2.184259392853913795e+00
4.453370056032473379e+00,2.186718210658748607e+00
4.407330688396611684e+00,2.185740553977887579e+00
4.359647432878382745e+00,2.201882328256232757e+00
4.312099084686666473e+00,2.210195802447257218e+00
4.217641097856491328e+00,2.212362608219760496e+00
4.170856815920635619e+00,2.208233682278048171e+00
4.121442382494961088e+00,2.218042596225445084e+00
4.027344921504661279e+00,2.206535925709705470e+00
3.975231591972749889e+00,2.221437858464322179e+00
3.876289753659393877e+00,2.221144630913056695e+00
3.778388891893059487e+00,2.211433004119113477e+00
3.729043379723695928e+00,2.206176229043278703e+00
3.677329096217564874e+00,2.206613458482882706e+00
3.623954099205603629e+00,2.209802047128916591e+00
3.522856859908126026e+00,2.196316493315478624e+00
3.465905386384546816e+00,2.202837764588042813e+00
3.403891294212275653e+00,2.218200207758298959e+00
3.297132741974631021e+00,2.204417596622060938e+00
3.233734105274620241e+00,2.215059590793774902e+00
-5.219697040155715229e-01,7.566742724998071212e-02
-5.411555999311925547e-01,-1.931947745873874300e-01
-5.107691369512998847e-01,-2.840357154228232983e-01
-5.367830206155472794e-01,-3.729352523923051832e-01
2.636354011002027597e+00,-7.625187190159801176e-01
2.801646220780375618e+00,-7.680494971894329392e-01
3.299674535301567513e+00,-8.470430851943184791e-01
3.376249630453378892e+00,-8.468807766211162713e-01
3.428588766766791807e+00,-8.755532482561722007e-01
3.468926200163283902e+00,-8.832839974027493213e-01
3.517499043955862437e+00,-8.863406142211756045e-01
3.562144967468100276e+00,-8.894167947864058954e-01
3.619937019708492354e+00,-9.058013994341832520e-01
3.664031710525122776e+00,-9.051843586774079853e-01
3.704237738068550279e+00,-9.050029268925168235e-01
3.774112350408317607e+00,-9.062443218630975572e-01
3.824954977392712063e+00,-9.140866202687258912e-01
3.869439217421959398e+00,-9.228019296051015452e-01
3.928048867293991719e+00,-1.251691774662000434e+00
4.693663114026551675e+00,-1.293401098132668459e+00
5.076653253260735355e+00,-1.358590810993830722e+00
6.633829210831815537e+00,1.989157081350765743e+00
6.450934943039373870e+00,2.021070222939637784e+00
6.390262289399545992e+00,2.028683865216141857e+00
6.216170877096034886e+00,2.052613249311724619e+00
4.696026014078453770e+00,2.188237386732860390e+00
4.512880152819235491e+00,2.200331995545874886e+00
4.278316259388378562e+00,2.230103002205669149e+00
4.088923052004394876e+00,2.225508086892308945e+00
3.838968697756851789e+00,2.242693832311969615e+00
3.580472507585759523e+00,2.240625359990020993e+00
3.358811559977465500e+00,2.244371032782191300e+00
-5.033665297587379683e-01,1.114767526686890609e-01
-5.149941985554544743e-01,2.253573203834491334e-02
-5.420301230765982581e-01,-6.545156097663501482e-02
-5.515704446127944749e-01,-1.550919423555379151e-01
2.603087524132823294e+00,-6.725711811486775327e-01
3.078092235352297479e+00,-7.514029176226280082e-01
3.329190053860870080e+00,-8.168473411183094779e-01
3.439048368369480357e+00,-8.282436969052686671e-01
3.506947135955048367e+00,-8.482310570609639111e-01
3.641916711730040390e+00,-8.554690965754720988e-01
3.680791688195275135e+00,-8.773725562766874209e-01
3.715510565981646973e+00,-8.797975903130269559e-01
3.760623439840605542e+00,-8.755240109635504808e-01
3.832194430754076286e+00,-8.726879332248207444e-01
3.875814524590793564e+00,-8.999142345788730957e-01
3.752406724676633942e+00,-2.095607939034515699e+00
4.921268032477968291e+00,-1.275770100117637140e+00
5.657726775477977199e+00,-1.441053562583100911e+00
7.468860253290880102e+00,4.404593460531553539e+00
7.396212896054688457e+00,4.420926347815461455e+00
6.974568464285775704e+00,4.494534562961910673e+00
6.911628758830673291e+00,4.509821268910198633e+00
6.836214578392108443e+00,4.505701761419002693e+00
6.768246108416504647e+00,4.509769010832821223e+00
6.641607029264816831e+00,4.526093236045699797e+00
6.572808739323520832e+00,4.522346558741354272e+00
6.512638740284051764e+00,4.530932321395053641e+00
6.438682520770535156e+00,4.512870724076527118e+00
6.323545894244118948e+00,4.529613666934478644e+00
6.098693330104262955e+00,4.556676086583041574e+00
6.045351159783288963e+00,4.566720151025633889e+00
5.980272250311052140e+00,4.544924193149550540e+00
5.918341460428449885e+00,4.527371773782306263e+00
5.819713882186323239e+00,4.557884522028840202e+00
5.769038358256021404e+00,4.568483985822755500e+00
5.715810355703879964e+00,4.569515212050925257e+00
5.663577177760854120e+00,4.572452135500451043e+00
